Name,Type
ALUMINI,Empresa
ANDRADE GUTIERREZ,Empresa
BNDES,Orgao de natureza publica
CADE,Orgao de natureza publica
CAMARGO CORREA,Empresa
COESA,Empresa
DEM,Partidos Politicos
ENGEVIX,Empresa
GDK,Empresa
IESA,Empresa
MENDES JUNIOR,Empresa
OAS,Empresa
ODEBRECHT,Empresa
PC do B,Partidos Politicos
PDT,Partidos Politicos
PEN,Partidos Politicos
PETROBRAS,Empresa semi-publica
PHS,Partidos Politicos
PMDB,Partidos Politicos
PMN,Partidos Politicos
PP,Partidos Politicos
PPL,Partidos Politicos
PPS,Partidos Politicos
PR,Partidos Politicos
PRB,Partidos Politicos
PROMON,Empresa
PROS,Partidos Politicos
PRP,Partidos Politicos
PRTB,Partidos Politicos
PSB,Partidos Politicos
PSC,Partidos Politicos
PSD,Partidos Politicos
PSDB,Partidos Politicos
PSDC,Partidos Politicos
PSL,Partidos Politicos
PT,Partidos Politicos
PTB,Partidos Politicos
PTC,Partidos Politicos
PT do B,Partidos Politicos
PTN,Partidos Politicos
PV,Partidos Politicos
QUEIROZ GALVAO,Empresa
SD,Partidos Politicos
SKANSKA,Empresa
TECHINT,Empresa
TOYO,Empresa
UTC,Empresa
