Source,Type,Target,Amount,Description
ANDRADE GUTIERREZ,1 bilhao,CADE,1000000000,Multa por condenacao
ANDRADE GUTIERREZ,13 milhoes,DEM,1300000,Doacao ao Partido
ANDRADE GUTIERREZ,112 mil,PC do B,11200,Doacao ao Partido
ANDRADE GUTIERREZ,800 mil,PMDB,800000,Doacao ao Partido
ANDRADE GUTIERREZ,116 milhoes,PMDB,11600000,Doacao ao Partido
ANDRADE GUTIERREZ,17 milhao,PP,1700000,Doacao ao Partido
ANDRADE GUTIERREZ,650 mil,PR,650000,Doacao ao Partido
ANDRADE GUTIERREZ,25 milhoes,PSB,2500000,Doacao ao Partido
ANDRADE GUTIERREZ,12 milhao,PSD,1200000,Doacao ao Partido
ANDRADE GUTIERREZ,350 mil,PSD,350000,Doacao ao Partido
ANDRADE GUTIERREZ,263 milhoes,PSDB,26300000,Doacao ao Partido
ANDRADE GUTIERREZ,347 milhoes,PT,34700000,Doacao ao Partido
ANDRADE GUTIERREZ,13 milhao,PTN,1300000,Doacao ao Partido
ANDRADE GUTIERREZ,100 mil,PV,100000,Doacao ao Partido
ANDRADE GUTIERREZ,550 mil,SD,550000,Doacao ao Partido
BNDES,729 milhoes,ALUMINI,72900000,Emprestimo Publico
BNDES,701 milhoes,ANDRADE GUTIERREZ,701000000,Emprestimo Publico
BNDES,27 bilhoes,CAMARGO CORREA,2700000000,Emprestimo Publico
BNDES,457 mil,COESA,457000,Emprestimo Publico
BNDES,34 milhoes,ENGEVIX,3400000,Emprestimo Publico
BNDES,561 milhoes,MENDES JUNIOR,56100000,Emprestimo Publico
BNDES,900 milhoes,OAS,900000000,Emprestimo Publico
BNDES,294 bilhoes,ODEBRECHT,29400000000,Emprestimo Publico
BNDES,21 bilhoes,QUEIROZ GALVAO,2100000000,Emprestimo Publico
BNDES,134 milhoes,UTC,134000000,Emprestimo Publico
CAMARGO CORREA,700 milhoes,CADE,700000000,Multa por condenacao
CAMARGO CORREA,15 milhao,DEM,1500000,Doacao ao Partido
CAMARGO CORREA,2 milhoes,PT,2000000,Doacao ao Partido
COESA,250 mil,DEM,250000,Doacao ao Partido
COESA,250 mil,PSB,250000,Doacao ao Partido
COESA,697 mil,PT,697000,Doacao ao Partido
ENGEVIX,539 milhoes,CADE,539000000,Multa por condenacao
ENGEVIX,225 mil,PDT,225000,Doacao ao Partido
ENGEVIX,40 mil,PMDB,40000,Doacao ao Partido
ENGEVIX,160 mil,PP,160000,Doacao ao Partido
ENGEVIX,25 mil,PPL,25000,Doacao ao Partido
ENGEVIX,23 milhoes,PR,2300000,Doacao ao Partido
ENGEVIX,50 mil,PROS,50000,Doacao ao Partido
ENGEVIX,240 mil,PSB,240000,Doacao ao Partido
ENGEVIX,50 mil,PSC,50000,Doacao ao Partido
ENGEVIX,260 mil,PSDB,260000,Doacao ao Partido
ENGEVIX,200 mil,PSL,200000,Doacao ao Partido
ENGEVIX,58 milhoes,PT,5800000,Doacao ao Partido
ENGEVIX,150 mil,PTB,150000,Doacao ao Partido
ENGEVIX,200 mil,PTC,200000,Doacao ao Partido
ENGEVIX,200 mil,PV,200000,Doacao ao Partido
MENDES JUNIOR,1 bilhao,CADE,1000000000,Multa por condenacao
OAS,989 milhoes,CADE,989000000,Multa por condenacao
OAS,32 milhao,DEM,3200000,Doacao ao Partido
OAS,600 mil,PC do B,600000,Doacao ao Partido
OAS,400 mil,PDT,400000,Doacao ao Partido
OAS,153 milhoes,PMDB,15300000,Doacao ao Partido
OAS,36 milhoes,PP,3600000,Doacao ao Partido
OAS,3 milhoes,PR,3000000,Doacao ao Partido
OAS,47 milhoes,PSB,4700000,Doacao ao Partido
OAS,215 milhoes,PSD,2150000,Doacao ao Partido
OAS,12 milhoes,PSDB,12000000,Doacao ao Partido
OAS,332 milhoes,PT,33200000,Doacao ao Partido
OAS,700 mil,PTB,700000,Doacao ao Partido
OAS,590 mil,PTN,590000,Doacao ao Partido
OAS,600 mil,PV,600000,Doacao ao Partido
ODEBRECHT,68 bilhoes,CADE,6800000,Multa por condenacao
ODEBRECHT,46 milhoes,DEM,4600000,Doacao ao Partido
ODEBRECHT,230 mil,PC do B,230000,Doacao ao Partido
ODEBRECHT,200 mil,PDT,200000,Doacao ao Partido
ODEBRECHT,60 mil,PHS,60000,Doacao ao Partido
ODEBRECHT,153 milhoes,PMDB,15300000,Doacao ao Partido
ODEBRECHT,790 mil,PP,790000,Doacao ao Partido
ODEBRECHT,700 mil,PPS,700000,Doacao ao Partido
ODEBRECHT,370 mil,PR,370000,Doacao ao Partido
ODEBRECHT,600 mil,PRB,600000,Doacao ao Partido
ODEBRECHT,300 mil,PROS,300000,Doacao ao Partido
ODEBRECHT,30 mil,PRP,30000,Doacao ao Partido
